,id_pintu_air,nama_pintu_air,latitude,longitude,bahaya,siaga,waspada,elevation
0,103,P.S. Cipinang Hulu,-6.370152,106.8808621,250,200,150,80.0
1,107,P.A. Cengkareng Drain,-6.165576979919189,106.74858453075363,310,270,190,4.0
2,114,P.S. Krukut Hulu 2,-6.3439,106.798874,300,250,150,53.0
3,116,Bendung. Katulampa 2,-6.633167,106.836806,200,150,80,360.0
4,118,P.S. Depok 2,-6.400514,106.832143,350,270,200,79.0
5,126,P.A. Pulo Gadung 2,-6.191,106.904194,770,700,550,9.0
6,140,P.A. Marina Ancol ,-6.125585,106.830154,250,200,170,4.0
7,150,P.S. Sunter Hulu,-6.31792,106.920901,250,200,140,36.0
8,155,Bendung. Cibalok - Gadog (Baru),-6.653375,106.869567,210,160,90,462.0
9,157,P.A. Manggarai 2,-6.207548,106.848585,950,850,750,12.0
10,158,P.S. Angke Hulu (Baru),-6.218026,106.694077,300,250,150,12.0
11,160,P.S. Pesanggrahan (Baru),-6.397147,106.771833,350,250,150,74.0
12,162,Pompa Pasar Ikan (Baru),-6.126264,106.809638,250,200,170,0.0
13,163,P.A. Karet (Baru),-6.198023,106.810169,600,550,450,10.0
14,164,Pompa Yos Sudarso (Baru),-6.154855,106.886326,250,200,140,-1.0
15,165,Pompa Cideng (Baru),-6.173587,106.806736,300,250,150,5.0
16,166,P.A. Marina Ancol (Baru),-6.12648,106.830006,250,200,170,4.0
17,167,Rumah Pompa Pluit (Baru),-6.109552,106.797342,45,0,-50,1.0
18,169,P.A. Kaliduri (Baru),-6.142445,106.790185,320,270,220,2.0
19,170,P.A. Ancol Flushing (Baru),-6.130054,106.831272,220,190,180,2.0
20,171,P.A. Jembatan Merah (Baru),-6.148949,106.834232,250,200,150,3.0
21,172,P.A. Istiqlal (Baru),-6.168284,106.831393,350,300,250,7.0
22,176,Kampung Rambutan (Baru),-6.308509,106.880899,300,250,200,41.0
23,178,P.A. Hek Kramat Jati (Baru),-6.28783,106.870729,300,250,200,32.0
24,179,Pompa Kamal Muara (Bubble),-6.093938,106.721842,300,250,200,0.0
25,181,Pompa Kali Asin (Bubble),-6.110667,106.774083,300,250,200,7.0
26,184,Pompa Lagoa (Bubble),-6.110317,106.906947,300,250,200,4.0
27,187,Pompa Cilincing (Bubble),-6.100906,106.940361,300,250,200,2.0
28,189,Jembatan Pasir Jambu,-6.529392,106.803944,500,500,500,154.0
29,191,Jembatan Kuning Cikambangan,-6.427713,106.814505,500,500,500,99.0
30,192,Jembatan Jalan Raya Tapos,-6.404388,106.888737,500,500,500,84.0
31,193,Jembatan MT. Haryono,-6.24379,106.86265,500,500,500,17.0
32,194,Rumah Pompa Tipala,-6.27708,106.87985,500,500,500,25.0
33,195,Taman Jati Cimel,-6.256839,106.9050277,500,500,500,15.0
34,196,Waduk Kaja Ciracas,-6.32847,106.88053,500,500,500,44.0
35,197,Jembatan Jl. Laksamana Malahayati,-6.23959,106.87893,500,500,500,18.0
36,198,Jembatan Kali Krukut,-6.36624,106.79441,500,500,500,67.0
37,199,Rumah Pompa Kemang 2,-6.25517,106.808577,500,500,500,17.0
38,200,Rumah Pompa Atma Jaya,-6.216418,106.816838,500,500,500,11.0
39,201,Posko SDA Palmerah,-6.19685,106.79354,500,500,500,10.0
