,id_pintu_air,nama_pintu_air,tinggi_lokasi_pintu,bahaya,waspada,siaga,id_lokasi,nama_lokasi,tinggi_lokasi_evakuasi,distance_km
0,103,P.S. Cipinang Hulu,80.0,250,150,200,1,Cengkareng Timur,6.0,29.84768883212218
1,103,P.S. Cipinang Hulu,80.0,250,150,200,2,Duri Kosambi,7.0,31.834536507048124
2,103,P.S. Cipinang Hulu,80.0,250,150,200,3,Kapuk,6.0,30.440204017453464
3,103,P.S. Cipinang Hulu,80.0,250,150,200,4,Tanjung Duren Selatan,7.0,23.406631595035794
4,103,P.S. Cipinang Hulu,80.0,250,150,200,5,Jelambar,6.0,24.225428233039427
5,103,P.S. Cipinang Hulu,80.0,250,150,200,6,Wijaya Kusuma,3.0,26.8924599995063
6,103,P.S. Cipinang Hulu,80.0,250,150,200,7,Angke,6.0,26.62527808393478
7,103,P.S. Cipinang Hulu,80.0,250,150,200,8,Duri Selatan,7.0,24.839319446519717
8,103,P.S. Cipinang Hulu,80.0,250,150,200,9,Pekojan,3.0,27.085775609124603
9,103,P.S. Cipinang Hulu,80.0,250,150,200,10,Taman Sari,7.0,25.227945496587488
10,103,P.S. Cipinang Hulu,80.0,250,150,200,11,Glodok,5.0,25.952607062903034
11,103,P.S. Cipinang Hulu,80.0,250,150,200,12,Mangga Besar,4.0,26.182910740773522
12,103,P.S. Cipinang Hulu,80.0,250,150,200,13,Pinangsia,6.0,26.59130726931147
13,103,P.S. Cipinang Hulu,80.0,250,150,200,14,Tangki,6.0,25.601747464741138
14,103,P.S. Cipinang Hulu,80.0,250,150,200,15,Keagungan,5.0,25.38526698852514
15,103,P.S. Cipinang Hulu,80.0,250,150,200,16,Maphar,8.0,24.94216473504649
16,103,P.S. Cipinang Hulu,80.0,250,150,200,17,Semanan,9.0,30.60671053400169
17,103,P.S. Cipinang Hulu,80.0,250,150,200,18,Slipi,13.0,21.48915265629013
18,103,P.S. Cipinang Hulu,80.0,250,150,200,19,Kemanggisan,14.0,22.36336243702194
19,103,P.S. Cipinang Hulu,80.0,250,150,200,20,Sukabumi Utara,20.0,21.051321296318378
20,103,P.S. Cipinang Hulu,80.0,250,150,200,21,Kedoya Utara,6.0,24.903607770201116
21,103,P.S. Cipinang Hulu,80.0,250,150,200,22,Kedoya Selatan,5.0,25.288907697774118
22,103,P.S. Cipinang Hulu,80.0,250,150,200,23,Duri Kepa,8.0,23.80271900506664
23,103,P.S. Cipinang Hulu,80.0,250,150,200,24,Kebon Jeruk,15.0,23.359941732799918
24,103,P.S. Cipinang Hulu,80.0,250,150,200,25,Kembangan Selatan,8.0,25.212675368603634
25,103,P.S. Cipinang Hulu,80.0,250,150,200,26,Meruya Utara,6.0,24.363826883973715
26,103,P.S. Cipinang Hulu,80.0,250,150,200,27,Meruya Selatan,18.0,23.628398616578313
27,103,P.S. Cipinang Hulu,80.0,250,150,200,28,Srengseng,13.0,23.133351649835717
28,103,P.S. Cipinang Hulu,80.0,250,150,200,29,Joglo,19.0,23.257225860275874
29,103,P.S. Cipinang Hulu,80.0,250,150,200,30,Kembangan Utara,4.0,25.68951385559585
30,103,P.S. Cipinang Hulu,80.0,250,150,200,31,Kapuk Muara,6.0,28.933536143221204
31,103,P.S. Cipinang Hulu,80.0,250,150,200,32,Pejagalan,2.0,28.546740500816146
32,103,P.S. Cipinang Hulu,80.0,250,150,200,33,Kamal Muara,0.0,35.42003622754419
33,103,P.S. Cipinang Hulu,80.0,250,150,200,34,Pluit,2.0,29.911232904015964
34,103,P.S. Cipinang Hulu,80.0,250,150,200,35,Ancol,3.0,28.25259406936689
35,103,P.S. Cipinang Hulu,80.0,250,150,200,36,Pademangan Barat,0.0,26.6920743366125
36,103,P.S. Cipinang Hulu,80.0,250,150,200,37,Pademangan Timur,2.0,26.782543077170438
37,103,P.S. Cipinang Hulu,80.0,250,150,200,38,Warakas,3.0,27.712830055991507
