,timestamps,id_pintu_air,tinggi_air,status,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,coco
0,2025-11-19 21:00:00,198.0,72.0,Normal,25.45,22.8,85.3,0.0,0.0,246.37,12.57,27.72,1002.41,100.0
1,2025-11-19 21:30:00,198.0,71.04,Normal,25.3,22.78,85.93,0.0,0.0,246.37,12.57,27.72,1002.45,100.0
2,2025-11-19 22:00:00,198.0,68.06,Normal,25.15,22.75,86.57,0.0,0.0,258.07,13.06,24.84,1002.5,100.0
3,2025-11-19 22:30:00,198.0,66.07,Normal,25.1,22.75,86.83,0.0,0.0,258.07,13.06,24.84,1002.4,100.0
4,2025-11-19 23:00:00,198.0,63.72,Normal,25.05,22.75,87.09,0.0,0.0,256.72,13.32,26.28,1002.3,100.0
5,2025-11-19 23:30:00,198.0,61.78,Normal,24.95,22.82,88.01,0.0,0.0,256.72,13.32,26.28,1002.15,100.0
6,2025-11-20 00:00:00,198.0,59.67,Normal,24.85,22.9,88.94,0.0,0.0,251.33,14.06,27.72,1002.0,100.0
7,2025-11-20 00:30:00,198.0,58.34,Normal,25.12,23.1,88.56,0.0,0.0,251.33,14.06,27.72,1001.51,100.0
8,2025-11-20 01:00:00,198.0,56.67,Normal,25.4,23.3,88.18,0.0,0.0,257.55,14.19,29.16,1001.02,100.0
9,2025-11-20 01:30:00,198.0,55.34,Normal,25.32,23.2,88.04,0.0,0.0,257.55,14.19,29.16,1000.72,100.0
10,2025-11-20 02:00:00,198.0,54.0,Normal,25.25,23.1,87.9,0.0,0.0,258.84,13.94,28.08,1000.42,100.0
11,2025-11-20 02:30:00,198.0,53.0,Normal,25.08,23.05,88.55,0.0,0.0,258.84,13.94,28.08,1000.26,100.0
12,2025-11-20 03:00:00,198.0,51.67,Normal,24.9,23.0,89.21,0.0,0.0,259.0,13.2,28.08,1000.11,100.0
13,2025-11-20 03:30:00,198.0,51.0,Normal,24.45,22.68,89.86,0.0,0.0,259.0,13.2,28.08,1000.3,100.0
14,2025-11-20 04:00:00,198.0,50.0,Normal,24.0,22.35,90.51,0.5,0.0,234.16,15.99,31.68,1000.48,100.0
15,2025-11-20 04:30:00,198.0,49.34,Normal,23.6,22.28,92.31,0.5,0.0,234.16,15.99,31.68,1000.57,100.0
16,2025-11-20 05:00:00,198.0,48.67,Normal,23.2,22.2,94.11,1.3,0.0,224.4,12.09,31.32,1000.66,100.0
17,2025-11-20 05:30:00,198.0,48.0,Normal,23.35,22.28,93.69,1.3,0.0,224.4,12.09,31.32,1001.06,100.0
18,2025-11-20 06:00:00,198.0,48.0,Normal,23.5,22.35,93.27,0.2,0.0,212.23,9.79,21.96,1001.46,100.0
19,2025-11-20 06:30:00,198.0,47.34,Normal,24.58,23.38,93.05,0.2,0.0,212.23,9.79,21.96,1001.74,100.0
20,2025-11-20 07:00:00,198.0,47.0,Normal,25.65,24.4,92.82,0.0,0.0,291.25,3.48,18.72,1002.02,100.0
21,2025-11-20 07:30:00,198.0,47.0,Normal,26.22,24.4,89.77,0.0,0.0,291.25,3.48,18.72,1002.23,100.0
22,2025-11-20 08:00:00,198.0,47.0,Normal,26.8,24.4,86.72,0.2,0.0,279.69,7.49,25.2,1002.44,100.0
23,2025-11-20 08:30:00,198.0,47.0,Normal,27.42,24.18,82.59,0.2,0.0,279.69,7.49,25.2,1002.26,100.0
24,2025-11-20 09:00:00,198.0,46.0,Normal,28.05,23.95,78.45,0.1,0.0,282.85,10.52,31.32,1002.08,100.0
25,2025-11-20 09:30:00,198.0,45.34,Normal,27.4,23.58,79.69,0.1,0.0,282.85,10.52,31.32,1002.26,100.0
